Country	Region	Continent	GDP_per_capita	Social_support	Healthy_life_exp	Freedom_life_choices	Generosity	Perceptions_of_corruption	Residuals
Philippines	Southeast_Asia	Asia	8.993545532	0.846730053	61.92676163	0.915463448	-0.105463006	0.733634114	2.501741886
Hungary	Central_and_Eastern_Europe	Europe	10.24924374	0.921934128	67.60997009	0.718964577	-0.194323018	0.892916501	2.121845722
Thailand	Southeast_Asia	Asia	9.741791725	0.889973223	67.25059509	0.905063033	0.268685192	0.886272311	1.832384109
Argentina	Latin_America_and_Caribbean	Latin_America	9.810955048	0.900567949	68.80380249	0.831132412	-0.194913864	0.842009842	2.072540998
Honduras	Latin_America_and_Caribbean	Latin_America	8.424534798	0.821870148	67.19876862	0.870603263	0.086969115	0.801131904	2.464295387
Latvia	Central_and_Eastern_Europe	Europe	10.17531967	0.918288589	66.8074646	0.671237648	-0.186888844	0.795580089	2.121283054
Ecuador	Latin_America_and_Caribbean	Latin_America	9.246058464	0.836418986	68.50003815	0.859828949	-0.127014965	0.801215112	2.254933834
Portugal	Western_Europe	Europe	10.26374245	0.886590719	72.40202332	0.888747811	-0.220714301	0.892629504	1.752558708
Jamaica	Latin_America_and_Caribbean	Latin_America	9.006250381	0.915701866	67.09999847	0.858068526	-0.125106767	0.888890028	2.214436531
South_Korea	East_Asia	Asia	10.51056671	0.799387157	73.6027298	0.612965107	-0.043404032	0.789067447	1.946757078
Japan	East_Asia	Asia	10.57968903	0.883545935	75.00096893	0.809961379	-0.246910349	0.654558063	1.486200333
Peru	Latin_America_and_Caribbean	Latin_America	9.456313133	0.831075251	68.10023499	0.824766099	-0.16238822	0.893714964	2.213499546
Serbia	Central_and_Eastern_Europe	Europe	9.680980682	0.881475747	68.21020508	0.726495862	-0.073676221	0.843509018	2.029040098
Bolivia	Latin_America_and_Caribbean	Latin_America	8.851115227	0.803108692	63.6004715	0.875873327	-0.09168113	0.822606206	2.425928593
Pakistan	South_Asia	Asia	8.482727051	0.689062297	58.25313568	0.734833717	0.04489987	0.745705426	2.976876736
Paraguay	Latin_America_and_Caribbean	Latin_America	9.389982224	0.898727894	65.63993835	0.885923445	0.007997713	0.834788501	1.83412528
Dominican_Republic	Latin_America_and_Caribbean	Latin_America	9.664880753	0.882085383	65.80748749	0.866202772	-0.131263286	0.755999923	1.844246864
Bosnia_and_Herzegovina	Central_and_Eastern_Europe	Europe	9.455817223	0.829204142	67.80813599	0.651352704	0.098274559	0.933769107	2.16724205
Moldova	Commonwealth_of_Independent_States	Commonwealth	8.776714325	0.843313575	65.01301575	0.721609175	-0.037741039	0.913314283	2.370968342
Tajikistan	Commonwealth_of_Independent_States	Commonwealth	8.024810791	0.835297108	64.10459137	0.831383407	-0.025088511	0.592076063	2.25650835
Montenegro	Central_and_Eastern_Europe	Europe	9.751860619	0.855314612	68.50534821	0.649565637	-0.075600356	0.783121586	1.880565882
Russia	Commonwealth_of_Independent_States	Commonwealth	10.12887192	0.903150737	64.10045624	0.729892612	-0.151153743	0.864802599	1.815716743
Kyrgyzstan	Commonwealth_of_Independent_States	Commonwealth	8.148405075	0.887228489	64.10601044	0.909374893	0.154772058	0.888396084	2.060206652
Belarus	Commonwealth_of_Independent_States	Commonwealth	9.779945374	0.90674746	66.10433197	0.639163077	-0.164926544	0.63571167	1.8069911
North_Cyprus	Western_Europe	Europe	10.40570259	0.820356607	73.70222473	0.79529351	0.000227159	0.62611568	1.23668766
Greece	Western_Europe	Europe	10.13232613	0.814380348	72.40525818	0.541345119	-0.300907373	0.859931409	2.016179085
Hong_Kong_S.A.R._of_China	East_Asia	Asia	10.9346714	0.845969081	76.77170563	0.779833794	0.134979904	0.420607209	0.673293114
Croatia	Central_and_Eastern_Europe	Europe	10.07087517	0.874623716	70.21490479	0.714838803	-0.128538325	0.916495264	1.676029205
Libya	Middle_East_and_North_Africa	Africa	9.789815903	0.825942934	62.29999924	0.773157001	-0.085054487	0.668779135	1.888563156
Mongolia	East_Asia	Asia	9.412186623	0.937142491	62.30448532	0.693351328	0.098093867	0.863511205	1.810527563
Malaysia	Southeast_Asia	Asia	10.26251888	0.816509426	67.10215759	0.894626856	0.114726797	0.839302301	1.319420815
Vietnam	Southeast_Asia	Asia	8.809545517	0.849987149	67.9527359	0.939592957	-0.094533332	0.79642123	1.685977936
Indonesia	Southeast_Asia	Asia	9.36975193	0.808379889	62.15584946	0.870614409	0.519586504	0.876296401	1.479573488
Ivory_Coast	Sub-Saharan_Africa	Africa	8.225561142	0.658048689	49.50377274	0.727909327	-0.043991156	0.790771961	3.081022501
Benin	Sub-Saharan_Africa	Africa	7.674319744	0.468671143	54.31246567	0.735182583	-0.003537213	0.740532577	3.440809727
Maldives	South_Asia	Asia	9.518632889	0.91316092	70.59999847	0.853962779	0.038085498	0.824211061	1.098674774
Congo_(Brazzaville)	Sub-Saharan_Africa	Africa	8.536987305	0.640228093	57.92448044	0.719058514	-0.123674095	0.751779079	2.722619534
Azerbaijan	Commonwealth_of_Independent_States	Commonwealth	9.687726974	0.819308281	65.50839996	0.786824107	-0.240255281	0.55253756	1.507632971
Macedonia	Central_and_Eastern_Europe	Europe	9.510591507	0.820392311	67.50442505	0.738840938	-0.019877451	0.897490501	1.617594957
Ghana	Sub-Saharan_Africa	Africa	8.350645065	0.728601098	57.20398712	0.794796526	0.094170853	0.847964764	2.378437281
Nepal	South_Asia	Asia	7.925357342	0.785512447	63.77917862	0.797565043	0.154168829	0.738099158	2.014386892
Turkey	Middle_East_and_North_Africa	Africa	10.12941933	0.826313555	66.90281677	0.608830452	-0.171046436	0.748197377	1.564816713
China	East_Asia	Asia	9.688568115	0.798760593	69.2891922	0.898517907	-0.18142575	0.7539711	1.336181879
Turkmenistan	Commonwealth_of_Independent_States	Commonwealth	9.74803257	0.958966196	62.21170807	0.826457024	0.187671542	0.883691847	1.115337372
Bulgaria	Central_and_Eastern_Europe	Europe	9.869318962	0.937840343	66.80397797	0.745178163	-0.143908441	0.935585141	1.294961452
Morocco	Middle_East_and_North_Africa	Africa	8.940313339	0.592628479	65.89624023	0.772072434	-0.240377247	0.815724611	2.378402472
Cameroon	Sub-Saharan_Africa	Africa	8.118647575	0.700386405	52.7049408	0.763051808	-0.00149645	0.851336598	2.719370842
Venezuela	Latin_America_and_Caribbean	Latin_America	8.977793694	0.890408158	66.50534058	0.62327832	-0.169090509	0.837038398	1.74484086
Algeria	Middle_East_and_North_Africa	Africa	9.537964821	0.803385139	65.90517426	0.466610909	-0.121105164	0.735485137	1.840811729
Senegal	Sub-Saharan_Africa	Africa	8.118982315	0.723616004	59.59915161	0.690596163	-0.052335154	0.808785141	2.405123949
Guinea	Sub-Saharan_Africa	Africa	7.750990391	0.637573481	54.46780014	0.706846774	0.076328471	0.761794448	2.740729809
Niger	Sub-Saharan_Africa	Africa	6.842166901	0.617435038	53.50009537	0.759772122	0.013860817	0.722530186	3.017630577
Laos	Southeast_Asia	Asia	8.79858017	0.737502217	58.70992279	0.907213569	0.11137148	0.634679317	1.621152639
